time_ka,nominal_esl_m,esl_m,sigma_esl
0,0,0,0
0.122,-0.21,-0.16,0.07
0.192,-0.21,-0.16,0.07
0.296,-0.21,-0.16,0.07
0.365,-0.21,-0.16,0.07
0.435,-0.21,-0.16,0.07
0.504,-0.21,-0.17,0.07
0.574,-0.21,-0.17,0.07
0.643,-0.21,-0.17,0.07
0.712,-0.21,-0.18,0.07
0.782,-0.21,-0.18,0.07
0.851,-0.21,-0.19,0.07
0.921,-0.21,-0.19,0.07
0.99,-0.21,-0.2,0.07
1.06,-0.21,-0.2,0.07
1.129,-0.22,-0.2,0.07
1.199,-0.22,-0.21,0.07
1.268,-0.23,-0.21,0.07
1.372,-0.23,-0.22,0.07
1.442,-0.24,-0.22,0.07
1.511,-0.24,-0.23,0.07
1.581,-0.25,-0.23,0.07
1.65,-0.25,-0.24,0.07
1.72,-0.26,-0.24,0.07
1.789,-0.26,-0.24,0.07
1.859,-0.27,-0.25,0.07
1.928,-0.28,-0.25,0.07
1.997,-0.28,-0.26,0.07
2.067,-0.29,-0.26,0.07
2.136,-0.29,-0.27,0.07
2.206,-0.3,-0.27,0.07
2.275,-0.3,-0.27,0.07
2.345,-0.33,-0.28,0.07
2.414,-0.38,-0.29,0.07
2.484,-0.42,-0.32,0.07
2.553,-0.47,-0.35,0.07
2.623,-0.52,-0.38,0.07
2.692,-0.56,-0.41,0.07
2.762,-0.61,-0.44,0.07
2.831,-0.65,-0.47,0.07
2.901,-0.7,-0.51,0.07
2.97,-0.74,-0.54,0.07
3.039,-0.79,-0.57,0.07
3.109,-0.83,-0.6,0.07
3.178,-0.88,-0.63,0.07
3.248,-0.93,-0.67,0.07
3.317,-0.97,-0.7,0.07
3.387,-1.02,-0.73,0.07
3.456,-1.06,-0.76,0.07
3.526,-1.11,-0.8,0.07
3.595,-1.15,-0.83,0.07
3.665,-1.2,-0.86,0.07
3.734,-1.26,-0.89,0.07
3.803,-1.32,-0.93,0.07
3.873,-1.38,-0.96,0.07
3.942,-1.44,-0.99,0.07
4.012,-1.5,-1.02,0.07
4.081,-1.56,-1.06,0.07
4.151,-1.61,-1.09,0.07
4.22,-1.67,-1.12,0.07
4.29,-1.73,-1.15,0.07
4.359,-1.79,-1.19,0.07
4.429,-1.85,-1.22,0.07
4.498,-1.91,-1.25,0.07
4.568,-1.97,-1.28,0.07
4.637,-2.03,-1.32,0.07
4.707,-2.09,-1.36,0.07
4.776,-2.15,-1.43,0.07
4.845,-2.21,-1.52,0.07
4.915,-2.26,-1.6,0.07
4.984,-2.32,-1.69,0.07
5.054,-2.38,-1.77,0.07
5.123,-2.44,-1.86,0.07
5.193,-2.5,-1.94,0.07
5.262,-2.56,-2.03,0.07
5.332,-2.62,-2.11,0.07
5.401,-2.68,-2.2,0.07
5.47,-2.74,-2.28,0.07
5.54,-2.8,-2.37,0.07
5.609,-2.86,-2.45,0.07
5.679,-2.91,-2.54,0.07
5.748,-2.97,-2.62,0.07
5.818,-3.03,-2.71,0.07
5.887,-3.09,-2.79,0.07
5.957,-3.15,-2.88,0.07
6.026,-3.23,-2.96,0.07
6.096,-3.33,-3.05,0.07
6.165,-3.43,-3.13,0.07
6.235,-3.53,-3.22,0.07
6.304,-3.63,-3.3,0.07
6.373,-3.73,-3.39,0.07
6.443,-3.83,-3.47,0.07
6.512,-3.93,-3.56,0.07
6.582,-4.04,-3.64,0.07
6.651,-4.14,-3.73,0.07
6.721,-4.24,-3.81,0.07
6.79,-4.34,-4.01,0.14
6.86,-4.76,-4.46,0.14
6.929,-5.24,-4.93,0.14
6.999,-5.71,-5.39,0.14
7.068,-6.19,-5.86,0.07
7.138,-6.66,-6.32,0.07
7.207,-7.14,-6.78,0.07
7.277,-7.61,-7.25,0.14
7.346,-8.09,-7.71,0.14
7.415,-8.54,-8.17,0.07
7.485,-9,-8.64,0.07
7.554,-9.45,-9.1,0.14
7.624,-9.9,-9.57,0.14
7.693,-10.35,-10.03,0.14
7.763,-10.81,-10.49,0.22
7.832,-11.26,-10.96,0.22
7.902,-11.72,-11.43,0.22
7.971,-12.39,-11.97,0.22
8.04,-13.07,-12.57,0.22
8.11,-13.75,-13.17,0.29
8.179,-14.43,-13.78,0.43
8.249,-15.11,-14.53,0.43
8.318,-15.79,-15.39,0.29
8.388,-16.47,-16.26,0.22
8.457,-17.19,-17.13,0.22
8.527,-18.25,-17.99,0.36
8.596,-19.32,-18.86,0.58
8.7,-20.92,-20.16,0.79
8.805,-22.52,-21.46,1.08
8.978,-25.19,-24.99,2.23
9.082,-26.75,-26.87,1.15
9.187,-28.24,-28.77,1.23
9.291,-29.72,-30.59,2.02
9.395,-31.2,-32.18,2.67
9.499,-32.68,-33.35,2.74
9.603,-34.16,-34.17,1.15
9.708,-35.75,-35.28,1.3
9.812,-37.44,-36.5,1.66
9.916,-39.12,-37.87,1.59
10.02,-40.81,-39.28,1.51
10.124,-42.49,-40.69,1.44
10.229,-44.17,-42.1,1.66
10.333,-45.59,-43.5,1.95
10.437,-46.83,-44.92,2.31
10.541,-48.07,-46.39,2.38
10.645,-49.31,-48.04,2.09
10.749,-50.55,-49.92,1.8
10.854,-51.79,-51.92,1.23
10.958,-53.03,-54.02,0.87
11.062,-54.28,-56.15,1.23
11.166,-55.53,-58.2,1.73
